Accuracy,mtWinSize,mtWinStep,stWinSize,stWinStep
0.6728,0.1,0.05,0.02,0.01
0.0595,0.1,0.05,0.02,0.015
0.0409,0.1,0.05,0.02,0.02
0.0595,0.1,0.05,0.03,0.015
0.0585,0.1,0.05,0.03,0.0225
0.0294,0.1,0.05,0.04,0.02
0.0303,0.1,0.05,0.04,0.04
0.0556,0.1,0.075,0.02,0.01
0.6551,0.1,0.075,0.02,0.015
0.0540,0.1,0.075,0.02,0.02
0.6725,0.1,0.075,0.03,0.015
0.0695,0.1,0.075,0.03,0.0225
0.0670,0.1,0.075,0.04,0.02
0.0749,0.1,0.075,0.04,0.04
0.6885,0.1,0.1,0.02,0.01
0.0968,0.1,0.1,0.02,0.015
0.6793,0.1,0.1,0.02,0.02
0.1051,0.1,0.1,0.03,0.015
0.0870,0.1,0.1,0.03,0.0225
0.0908,0.1,0.1,0.03,0.03
0.7037,0.1,0.1,0.04,0.02
0.0601,0.1,0.1,0.04,0.03
0.0286,0.1,0.1,0.04,0.04
0.6731,0.2,0.1,0.02,0.01
0.1084,0.2,0.1,0.02,0.015
0.6846,0.2,0.1,0.02,0.02
0.1165,0.2,0.1,0.03,0.015
0.0907,0.2,0.1,0.03,0.0225
0.0869,0.2,0.1,0.03,0.03
0.6978,0.2,0.1,0.04,0.02
0.0473,0.2,0.1,0.04,0.03
0.0360,0.2,0.1,0.04,0.04
0.6679,0.2,0.15,0.02,0.01
0.6650,0.2,0.15,0.02,0.015
0.1077,0.2,0.15,0.02,0.02
0.6768,0.2,0.15,0.03,0.015
0.1300,0.2,0.15,0.03,0.0225
0.6878,0.2,0.15,0.03,0.03
0.1288,0.2,0.15,0.04,0.02
0.7279,0.2,0.15,0.04,0.03
0.1319,0.2,0.15,0.04,0.04
0.6826,0.2,0.2,0.02,0.01
0.1520,0.2,0.2,0.02,0.015
0.7053,0.2,0.2,0.02,0.02
0.1407,0.2,0.2,0.03,0.015
0.1370,0.2,0.2,0.03,0.0225
0.1657,0.2,0.2,0.03,0.03
0.7056,0.2,0.2,0.04,0.02
0.1731,0.2,0.2,0.04,0.03
0.7205,0.2,0.2,0.04,0.04
0.6228,0.3,0.15,0.02,0.01
0.4953,0.3,0.15,0.02,0.015
0.1164,0.3,0.15,0.02,0.02
0.4310,0.3,0.15,0.03,0.015
0.1450,0.3,0.15,0.03,0.0225
0.6337,0.3,0.15,0.03,0.03
0.1228,0.3,0.15,0.04,0.02
0.6736,0.3,0.15,0.04,0.03
0.1050,0.3,0.15,0.04,0.04
0.1546,0.3,0.225,0.02,0.01
0.6444,0.3,0.225,0.02,0.015
0.1322,0.3,0.225,0.02,0.02
0.6101,0.3,0.225,0.03,0.015
0.6948,0.3,0.225,0.03,0.0225
0.1026,0.3,0.225,0.03,0.03
0.1276,0.3,0.225,0.04,0.02
0.1260,0.3,0.225,0.04,0.03
0.1170,0.3,0.225,0.04,0.04
0.7065,0.3,0.3,0.02,0.01
0.6780,0.3,0.3,0.02,0.015
0.7293,0.3,0.3,0.02,0.02
0.6887,0.3,0.3,0.03,0.015
0.1531,0.3,0.3,0.03,0.0225
0.6780,0.3,0.3,0.03,0.03
0.6778,0.3,0.3,0.04,0.02
0.7059,0.3,0.3,0.04,0.03
0.1616,0.3,0.3,0.04,0.04
